,stn,TC,sum,lat,lon
0,GP15_02_1,-,0.7883133077759207,56.05909,-156.96154
1,GP15_02_3,-,0.6780934782487805,55.08013,-155.72003
2,GP15_02_4,-,0.6608564779966067,55.07994,-155.72033
3,GP15_02_5,-,0.6469596074195241,53.68004,-153.79988
4,GP15_02_6,-,0.6518372138288969,52.00014,-151.99978
5,GP15_02_8,-,0.6481950150011603,47.00009,-151.99986
6,GP15_02_9,-,0.6348991953346709,44.50019,-151.99984
7,GP15_02_10,-,0.7237630929853998,41.99998,-151.99985
8,GP15_02_12,-,0.7037883065482411,37.00007,-152.00017
9,GP15_02_14,-,0.7206972886065101,32.00006,-151.99991
10,GP15_02_15,-,0.7202364616244368,29.5003,-152.0005
11,GP15_02_16,-,0.6960304168106783,26.99984,-152.00004
12,GP15_02_18,-,0.7120508061687862,22.00015,-152.00005
13,GP15_02_18-3,-,0.7257712500107989,19.68113,-154.51301
14,GP15_02_19,-,0.7151871617703881,17.49998,-152.00007
15,GP15_02_21,-,0.7418033744839643,11.00013,-152.00001
16,GP15_02_23,-,0.721967095871266,7.52686,-152.01638
17,GP15_02_25,-,0.7520086743072771,5.01547,-152.0233
18,GP15_02_27,-,0.7216614074419059,2.49982,-152.01363
19,GP15_02_29,-,0.7334429794034141,0.0022,-152.01378
20,GP15_02_31,-,0.7091495340249834,-2.50475,-152.00003
21,GP15_02_33,-,0.7293901881639254,-4.99972,-152.00247
22,GP15_02_35,-,0.7548628146444948,-10.49975,-151.99948
23,GP15_02_37,-,0.7442504831678947,-14.9986,-151.99808
24,GP15_02_39,-,0.7571920801432919,-19.99443,-152.09907
25,GP17-OCE_02_1,-,0.6618250551451517,-19.9999,-152.0003
26,GP17-OCE_02_3,-,0.6619404015056417,-24.9996,-151.25
27,GP17-OCE_02_6,-,0.6095052485768871,-32.5,-150.0012
28,GP17-OCE_02_8,-,0.6499273440840229,-37.5001,-149.2803
29,GP17-OCE_02_10,-,0.6431876936897055,-42.5003,-148.4706
30,GP17-OCE_02_12,-,0.6745323499174596,-47.5,-147.5199
31,GP17-OCE_02_14,-,0.6471865462390778,-52.312,-146.4033
32,GP17-OCE_02_16,-,0.6615949257814439,-54.9995,-145.6559
33,GP17-OCE_02_18,-,0.6816338111372446,-56.1052,-145.3377
34,GP17-OCE_02_20,-,0.6901171824393768,-57.6014,-144.8581
35,GP17-OCE_02_22,-,0.7284485533506934,-59.9971,-143.9992
36,GP17-OCE_02_25,-,0.7588235090099034,-66.9998,-134.9994
37,GP17-OCE_02_27,-,0.7521221507360425,-67.0003,-115.0079
38,GP17-OCE_02_29,-,0.714513844573647,-66.9988,-100.001
