,stn,TC,sum,lat,lon
65,GP15_3_39,"1.A.1.1,1.A.1.13,1.A.1.17,1.A.1.24,1.A.1.25,1.A.1.6",0.0,-19.99443,-152.09907
66,GP17-OCE_3_1,"1.A.1.1,1.A.1.13,1.A.1.17,1.A.1.24,1.A.1.25,1.A.1.6",0.0,-19.9999,-152.0003
67,GP17-OCE_3_3,"1.A.1.1,1.A.1.13,1.A.1.17,1.A.1.24,1.A.1.25,1.A.1.6",0.0,-24.9996,-151.25
68,GP17-OCE_3_6,"1.A.1.1,1.A.1.13,1.A.1.17,1.A.1.24,1.A.1.25,1.A.1.6",0.0,-32.5,-150.0012
69,GP17-OCE_3_8,"1.A.1.1,1.A.1.13,1.A.1.17,1.A.1.24,1.A.1.25,1.A.1.6",0.0,-37.5001,-149.2803
70,GP17-OCE_3_10,"1.A.1.1,1.A.1.13,1.A.1.17,1.A.1.24,1.A.1.25,1.A.1.6",0.0,-42.5003,-148.4706
71,GP17-OCE_3_12,"1.A.1.1,1.A.1.13,1.A.1.17,1.A.1.24,1.A.1.25,1.A.1.6",0.0,-47.5,-147.5199
72,GP17-OCE_3_14,"1.A.1.1,1.A.1.13,1.A.1.17,1.A.1.24,1.A.1.25,1.A.1.6",0.0,-52.312,-146.4033
73,GP17-OCE_3_16,"1.A.1.1,1.A.1.13,1.A.1.17,1.A.1.24,1.A.1.25,1.A.1.6",0.0,-54.9995,-145.6559
74,GP17-OCE_3_18,"1.A.1.1,1.A.1.13,1.A.1.17,1.A.1.24,1.A.1.25,1.A.1.6",0.0,-56.1052,-145.3377
75,GP17-OCE_3_20,"1.A.1.1,1.A.1.13,1.A.1.17,1.A.1.24,1.A.1.25,1.A.1.6",0.0,-57.6014,-144.8581
76,GP17-OCE_3_22,"1.A.1.1,1.A.1.13,1.A.1.17,1.A.1.24,1.A.1.25,1.A.1.6",0.0,-59.9971,-143.9992
77,GP17-OCE_3_25,"1.A.1.1,1.A.1.13,1.A.1.17,1.A.1.24,1.A.1.25,1.A.1.6",0.0,-66.9998,-134.9994
78,GP17-OCE_3_27,"1.A.1.1,1.A.1.13,1.A.1.17,1.A.1.24,1.A.1.25,1.A.1.6",0.0,-67.0003,-115.0079
79,GP17-OCE_3_32,"1.A.1.1,1.A.1.13,1.A.1.17,1.A.1.24,1.A.1.25,1.A.1.6",0.0,-59.9984,-82.4956
80,GP17-OCE_3_33,"1.A.1.1,1.A.1.13,1.A.1.17,1.A.1.24,1.A.1.25,1.A.1.6",5.884477709116016e-06,-57.0001,-78.9996
81,GP17-OCE_3_35,"1.A.1.1,1.A.1.13,1.A.1.17,1.A.1.24,1.A.1.25,1.A.1.6",0.0,-54.3512,-76.5493
82,GP17-OCE_3_37,"1.A.1.1,1.A.1.13,1.A.1.17,1.A.1.24,1.A.1.25,1.A.1.6",0.0,-53.4991,-75.751
83,GP17-OCE_3_38,"1.A.1.1,1.A.1.13,1.A.1.17,1.A.1.24,1.A.1.25,1.A.1.6",0.0,-52.7019,-75.0972
84,GP15_3_3,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,55.08013,-155.72003
85,GP15_3_4,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,55.07994,-155.72033
86,GP15_3_5,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,53.68004,-153.79988
87,GP15_3_6,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,52.00014,-151.99978
