,stn,clade,sum,lat,lon
0,GP15_3_3,Bacteria,0,55.08013,-155.72003
1,GP15_3_4,Bacteria,0,55.07994,-155.72033
2,GP15_3_5,Bacteria,0,53.68004,-153.79988
3,GP15_3_6,Bacteria,0,52.00014,-151.99978
4,GP15_3_8,Bacteria,2.41E-05,47.00009,-151.99986
5,GP15_3_9,Bacteria,9.73E-06,44.50019,-151.99984
6,GP15_3_10,Bacteria,0,41.99998,-151.99985
7,GP15_3_12,Bacteria,1.19E-05,37.00007,-152.00017
8,GP15_3_14,Bacteria,1.22E-05,32.00006,-151.99991
9,GP15_3_15,Bacteria,0,29.5003,-152.0005
10,GP15_3_16,Bacteria,0,26.99984,-152.00004
11,GP15_3_18,Bacteria,1.40E-05,22.00015,-152.00005
12,GP15_3_18-3,Bacteria,0,19.68113,-154.51301
13,GP15_3_19,Bacteria,0,17.49998,-152.00007
14,GP15_3_21,Bacteria,0,11.00013,-152.00001
15,GP15_3_23,Bacteria,3.77E-05,7.52686,-152.01638
16,GP15_3_25,Bacteria,0,5.01547,-152.333
17,GP15_3_27,Bacteria,0,2.49982,-152.01363
18,GP15_3_29,Bacteria,0,0.032,-152.01378
19,GP15_3_31,Bacteria,0,-2.50475,-152.00003
20,GP15_3_33,Bacteria,0,-4.99972,-152.0347
21,GP15_3_35,Bacteria,0,-10.49975,-151.99948
22,GP15_3_37,Bacteria,2.09E-05,-14.9986,-151.99808
23,GP15_3_39,Bacteria,0,-19.99443,-152.09907
24,GP17-OCE_3_1,Bacteria,0,-19.9999,-152.0003
25,GP17-OCE_3_3,Bacteria,0,-24.9996,-151.25
26,GP17-OCE_3_6,Bacteria,2.85E-05,-32.5,-150.0012
27,GP17-OCE_3_8,Bacteria,0,-37.5001,-149.2803
28,GP17-OCE_3_10,Bacteria,0.000255178,-42.5003,-148.4706
29,GP17-OCE_3_12,Bacteria,2.45E-05,-47.5,-147.5199
30,GP17-OCE_3_14,Bacteria,1.26E-05,-52.312,-146.4033
31,GP17-OCE_3_16,Bacteria,0.000230152,-54.9995,-145.6559
32,GP17-OCE_3_18,Bacteria,0,-56.1052,-145.3377
33,GP17-OCE_3_20,Bacteria,0,-57.6014,-144.8581
34,GP17-OCE_3_22,Bacteria,0,-59.9971,-143.9992
35,GP17-OCE_3_25,Bacteria,0,-66.9998,-134.9994
36,GP17-OCE_3_27,Bacteria,0,-67.0003,-115.0079
37,GP17-OCE_3_32,Bacteria,0.000139765,-59.9984,-82.4956
38,GP17-OCE_3_33,Bacteria,0.000194723,-57.0001,-78.9996
39,GP17-OCE_3_35,Bacteria,7.44E-05,-54.3512,-76.5493
40,GP17-OCE_3_37,Bacteria,0,-53.4991,-75.751
41,GP17-OCE_3_38,Bacteria,2.56E-05,-52.7019,-75.0972
42,GP15_3_3,Archaea,0.000321299,55.08013,-155.72003
43,GP15_3_4,Archaea,0.000373895,55.07994,-155.72033
44,GP15_3_5,Archaea,0.000386195,53.68004,-153.79988
45,GP15_3_6,Archaea,0.00021939,52.00014,-151.99978
46,GP15_3_8,Archaea,9.05E-05,47.00009,-151.99986
47,GP15_3_9,Archaea,7.37E-05,44.50019,-151.99984
48,GP15_3_10,Archaea,0.000441226,41.99998,-151.99985
49,GP15_3_12,Archaea,0.000412236,37.00007,-152.00017
50,GP15_3_14,Archaea,0.00124926,32.00006,-151.99991
51,GP15_3_15,Archaea,0.000575585,29.5003,-152.0005
52,GP15_3_16,Archaea,0.000479107,26.99984,-152.00004
53,GP15_3_18,Archaea,0.000823323,22.00015,-152.00005
54,GP15_3_18-3,Archaea,0.001276231,19.68113,-154.51301
55,GP15_3_19,Archaea,0.0020112,17.49998,-152.00007
56,GP15_3_21,Archaea,0.000798039,11.00013,-152.00001
57,GP15_3_23,Archaea,0.001852908,7.52686,-152.01638
58,GP15_3_25,Archaea,0.000816122,5.01547,-152.333
59,GP15_3_27,Archaea,0.000276212,2.49982,-152.01363
60,GP15_3_29,Archaea,9.23E-05,0.032,-152.01378
61,GP15_3_31,Archaea,0.000358018,-2.50475,-152.00003
62,GP15_3_33,Archaea,0.00102927,-4.99972,-152.0347
63,GP15_3_35,Archaea,0.000366465,-10.49975,-151.99948
64,GP15_3_37,Archaea,0.001592582,-14.9986,-151.99808
65,GP15_3_39,Archaea,0.003220428,-19.99443,-152.09907
66,GP17-OCE_3_1,Archaea,0.004580372,-19.9999,-152.0003
67,GP17-OCE_3_3,Archaea,0.002139447,-24.9996,-151.25
