,stn,cog,sum,lat,lon
81,GP17-OCE_3_35,A,0.009043402532020984,-54.3512,-76.5493
82,GP17-OCE_3_37,A,0.00927231118516764,-53.4991,-75.751
83,GP17-OCE_3_38,A,0.010909820341274627,-52.7019,-75.0972
84,GP15_3_3,AB,0.0,55.08013,-155.72003
85,GP15_3_4,AB,0.0,55.07994,-155.72033
86,GP15_3_5,AB,0.0,53.68004,-153.79988
87,GP15_3_6,AB,0.0,52.00014,-151.99978
88,GP15_3_8,AB,0.0,47.00009,-151.99986
89,GP15_3_9,AB,0.0,44.50019,-151.99984
90,GP15_3_10,AB,0.0,41.99998,-151.99985
91,GP15_3_12,AB,0.0,37.00007,-152.00017
92,GP15_3_14,AB,0.0,32.00006,-151.99991
93,GP15_3_15,AB,0.0,29.5003,-152.0005
94,GP15_3_16,AB,0.0,26.99984,-152.00004
95,GP15_3_18,AB,0.0,22.00015,-152.00005
96,GP15_3_18-3,AB,0.0,19.68113,-154.51301
97,GP15_3_19,AB,0.0,17.49998,-152.00007
98,GP15_3_21,AB,0.0,11.00013,-152.00001
99,GP15_3_23,AB,0.0,7.52686,-152.01638
100,GP15_3_25,AB,0.0,5.01547,-152.333
101,GP15_3_27,AB,0.0,2.49982,-152.01363
102,GP15_3_29,AB,0.0,0.032,-152.01378
103,GP15_3_31,AB,0.0,-2.50475,-152.00003
104,GP15_3_33,AB,0.0,-4.99972,-152.0347
105,GP15_3_35,AB,0.0,-10.49975,-151.99948
106,GP15_3_37,AB,0.0,-14.9986,-151.99808
107,GP15_3_39,AB,0.0,-19.99443,-152.09907
108,GP17-OCE_3_1,AB,0.0,-19.9999,-152.0003
109,GP17-OCE_3_3,AB,0.0,-24.9996,-151.25
110,GP17-OCE_3_6,AB,0.0,-32.5,-150.0012
111,GP17-OCE_3_8,AB,0.0,-37.5001,-149.2803
112,GP17-OCE_3_10,AB,0.0,-42.5003,-148.4706
113,GP17-OCE_3_12,AB,0.0,-47.5,-147.5199
114,GP17-OCE_3_14,AB,0.0,-52.312,-146.4033
115,GP17-OCE_3_16,AB,0.0,-54.9995,-145.6559
116,GP17-OCE_3_18,AB,0.0,-56.1052,-145.3377
117,GP17-OCE_3_20,AB,0.0,-57.6014,-144.8581
118,GP17-OCE_3_22,AB,7.602235690103587e-06,-59.9971,-143.9992
119,GP17-OCE_3_25,AB,0.0,-66.9998,-134.9994
120,GP17-OCE_3_27,AB,0.0,-67.0003,-115.0079
121,GP17-OCE_3_32,AB,2.1629068570118905e-05,-59.9984,-82.4956
122,GP17-OCE_3_33,AB,4.304842248037724e-05,-57.0001,-78.9996
123,GP17-OCE_3_35,AB,1.152109665502898e-05,-54.3512,-76.5493
124,GP17-OCE_3_37,AB,8.210057860933094e-06,-53.4991,-75.751
125,GP17-OCE_3_38,AB,1.1472283350184758e-05,-52.7019,-75.0972
126,GP15_3_3,AD,0.0,55.08013,-155.72003
127,GP15_3_4,AD,0.0,55.07994,-155.72033
128,GP15_3_5,AD,0.0,53.68004,-153.79988
129,GP15_3_6,AD,0.0,52.00014,-151.99978
130,GP15_3_8,AD,0.0,47.00009,-151.99986
131,GP15_3_9,AD,0.0,44.50019,-151.99984
132,GP15_3_10,AD,0.0,41.99998,-151.99985
133,GP15_3_12,AD,0.0,37.00007,-152.00017
134,GP15_3_14,AD,0.0,32.00006,-151.99991
135,GP15_3_15,AD,0.0,29.5003,-152.0005
136,GP15_3_16,AD,0.0,26.99984,-152.00004
137,GP15_3_18,AD,0.0,22.00015,-152.00005
138,GP15_3_18-3,AD,0.0,19.68113,-154.51301
139,GP15_3_19,AD,0.0,17.49998,-152.00007
140,GP15_3_21,AD,0.0,11.00013,-152.00001
141,GP15_3_23,AD,0.0,7.52686,-152.01638
142,GP15_3_25,AD,0.0,5.01547,-152.333
143,GP15_3_27,AD,0.0,2.49982,-152.01363
144,GP15_3_29,AD,0.0,0.032,-152.01378
145,GP15_3_31,AD,0.0,-2.50475,-152.00003
146,GP15_3_33,AD,0.0,-4.99972,-152.0347
147,GP15_3_35,AD,0.0,-10.49975,-151.99948
148,GP15_3_37,AD,0.0,-14.9986,-151.99808
149,GP15_3_39,AD,0.0,-19.99443,-152.09907
150,GP17-OCE_3_1,AD,0.0,-19.9999,-152.0003
151,GP17-OCE_3_3,AD,0.0,-24.9996,-151.25
152,GP17-OCE_3_6,AD,0.0,-32.5,-150.0012
153,GP17-OCE_3_8,AD,0.0,-37.5001,-149.2803
154,GP17-OCE_3_10,AD,0.0,-42.5003,-148.4706
155,GP17-OCE_3_12,AD,1.0795851912047356e-05,-47.5,-147.5199
156,GP17-OCE_3_14,AD,1.029540073834406e-05,-52.312,-146.4033
157,GP17-OCE_3_16,AD,0.0,-54.9995,-145.6559
158,GP17-OCE_3_18,AD,1.7827560121425482e-05,-56.1052,-145.3377
159,GP17-OCE_3_20,AD,7.928320922829389e-06,-57.6014,-144.8581
160,GP17-OCE_3_22,AD,5.3864977921545227e-05,-59.9971,-143.9992
161,GP17-OCE_3_25,AD,2.5558786153303238e-05,-66.9998,-134.9994
162,GP17-OCE_3_27,AD,8.738950338559007e-06,-67.0003,-115.0079
163,GP17-OCE_3_32,AD,0.0,-59.9984,-82.4956
164,GP17-OCE_3_33,AD,0.0,-57.0001,-78.9996
165,GP17-OCE_3_35,AD,1.2168869157721372e-05,-54.3512,-76.5493
166,GP17-OCE_3_37,AD,0.0,-53.4991,-75.751
167,GP17-OCE_3_38,AD,0.0,-52.7019,-75.0972
168,GP15_3_3,ADK,1.3305508517768386e-05,55.08013,-155.72003
169,GP15_3_4,ADK,6.849454871020981e-05,55.07994,-155.72033
170,GP15_3_5,ADK,7.304176476004185e-05,53.68004,-153.79988
171,GP15_3_6,ADK,3.2114051036642256e-05,52.00014,-151.99978
172,GP15_3_8,ADK,2.240606261039568e-05,47.00009,-151.99986
173,GP15_3_9,ADK,8.657410619241964e-06,44.50019,-151.99984
174,GP15_3_10,ADK,1.5966647378140183e-05,41.99998,-151.99985
175,GP15_3_12,ADK,8.995381142607431e-06,37.00007,-152.00017
176,GP15_3_14,ADK,4.926463778132137e-05,32.00006,-151.99991
177,GP15_3_15,ADK,2.5207957035347073e-05,29.5003,-152.0005
178,GP15_3_16,ADK,1.1115211623819816e-05,26.99984,-152.00004
179,GP15_3_18,ADK,4.2280750392209804e-05,22.00015,-152.00005
180,GP15_3_18-3,ADK,1.8591390715983007e-05,19.68113,-154.51301
181,GP15_3_19,ADK,0.00016022483363580775,17.49998,-152.00007
182,GP15_3_21,ADK,0.00013217545877518692,11.00013,-152.00001
183,GP15_3_23,ADK,0.00018350317958505208,7.52686,-152.01638
184,GP15_3_25,ADK,0.00019374489522188984,5.01547,-152.333
185,GP15_3_27,ADK,1.762194543280833e-05,2.49982,-152.01363
186,GP15_3_29,ADK,3.6570776791126936e-05,0.032,-152.01378
187,GP15_3_31,ADK,9.143988327506775e-05,-2.50475,-152.00003
188,GP15_3_33,ADK,4.353605674854201e-05,-4.99972,-152.0347
189,GP15_3_35,ADK,0.00011568911076629732,-10.49975,-151.99948
190,GP15_3_37,ADK,2.5498866605288573e-05,-14.9986,-151.99808
191,GP15_3_39,ADK,0.0,-19.99443,-152.09907
192,GP17-OCE_3_1,ADK,0.00011886208931743505,-19.9999,-152.0003
193,GP17-OCE_3_3,ADK,7.111921659194357e-05,-24.9996,-151.25
194,GP17-OCE_3_6,ADK,3.929477601605742e-05,-32.5,-150.0012
195,GP17-OCE_3_8,ADK,3.069608541259166e-05,-37.5001,-149.2803
196,GP17-OCE_3_10,ADK,9.744667253151815e-06,-42.5003,-148.4706
197,GP17-OCE_3_12,ADK,7.766941682423915e-05,-47.5,-147.5199
198,GP17-OCE_3_14,ADK,8.7493337332685e-06,-52.312,-146.4033
199,GP17-OCE_3_16,ADK,6.58202910218556e-05,-54.9995,-145.6559
200,GP17-OCE_3_18,ADK,0.00013896782392970445,-56.1052,-145.3377
201,GP17-OCE_3_20,ADK,2.102125893386229e-05,-57.6014,-144.8581
202,GP17-OCE_3_22,ADK,3.3361711071986565e-05,-59.9971,-143.9992
203,GP17-OCE_3_25,ADK,2.44308955009237e-05,-66.9998,-134.9994
204,GP17-OCE_3_27,ADK,6.919098800068968e-05,-67.0003,-115.0079
205,GP17-OCE_3_32,ADK,2.452268120348491e-05,-59.9984,-82.4956
206,GP17-OCE_3_33,ADK,4.076229417296589e-05,-57.0001,-78.9996
207,GP17-OCE_3_35,ADK,0.00019847417092486082,-54.3512,-76.5493
208,GP17-OCE_3_37,ADK,3.79047671396894e-05,-53.4991,-75.751
209,GP17-OCE_3_38,ADK,1.1385700079617326e-05,-52.7019,-75.0972
210,GP15_3_3,ADL,0.0,55.08013,-155.72003
211,GP15_3_4,ADL,0.0,55.07994,-155.72033
212,GP15_3_5,ADL,0.0,53.68004,-153.79988
213,GP15_3_6,ADL,0.0,52.00014,-151.99978
214,GP15_3_8,ADL,0.0,47.00009,-151.99986
215,GP15_3_9,ADL,0.0,44.50019,-151.99984
216,GP15_3_10,ADL,0.0,41.99998,-151.99985
217,GP15_3_12,ADL,0.0,37.00007,-152.00017
218,GP15_3_14,ADL,0.0,32.00006,-151.99991
219,GP15_3_15,ADL,0.0,29.5003,-152.0005
220,GP15_3_16,ADL,0.0,26.99984,-152.00004
221,GP15_3_18,ADL,0.0,22.00015,-152.00005
222,GP15_3_18-3,ADL,0.0,19.68113,-154.51301
223,GP15_3_19,ADL,0.0,17.49998,-152.00007
224,GP15_3_21,ADL,0.0,11.00013,-152.00001
225,GP15_3_23,ADL,0.0,7.52686,-152.01638
226,GP15_3_25,ADL,0.0,5.01547,-152.333
227,GP15_3_27,ADL,0.0,2.49982,-152.01363
228,GP15_3_29,ADL,0.0,0.032,-152.01378
229,GP15_3_31,ADL,0.0,-2.50475,-152.00003
230,GP15_3_33,ADL,0.0,-4.99972,-152.0347
231,GP15_3_35,ADL,0.0,-10.49975,-151.99948
232,GP15_3_37,ADL,0.0,-14.9986,-151.99808
233,GP15_3_39,ADL,0.0,-19.99443,-152.09907
234,GP17-OCE_3_1,ADL,0.0,-19.9999,-152.0003
235,GP17-OCE_3_3,ADL,0.0,-24.9996,-151.25
236,GP17-OCE_3_6,ADL,0.0,-32.5,-150.0012
237,GP17-OCE_3_8,ADL,0.0,-37.5001,-149.2803
238,GP17-OCE_3_10,ADL,0.0,-42.5003,-148.4706
239,GP17-OCE_3_12,ADL,0.0,-47.5,-147.5199
240,GP17-OCE_3_14,ADL,0.0,-52.312,-146.4033
241,GP17-OCE_3_16,ADL,2.191765572156346e-06,-54.9995,-145.6559
242,GP17-OCE_3_18,ADL,0.0,-56.1052,-145.3377
243,GP17-OCE_3_20,ADL,0.0,-57.6014,-144.8581
244,GP17-OCE_3_22,ADL,5.261690573102722e-06,-59.9971,-143.9992
245,GP17-OCE_3_25,ADL,0.0,-66.9998,-134.9994
246,GP17-OCE_3_27,ADL,0.0,-67.0003,-115.0079
247,GP17-OCE_3_32,ADL,2.2627068551874593e-06,-59.9984,-82.4956
248,GP17-OCE_3_33,ADL,0.0,-57.0001,-78.9996
249,GP17-OCE_3_35,ADL,0.0,-54.3512,-76.5493
250,GP17-OCE_3_37,ADL,1.717776624841212e-06,-53.4991,-75.751
251,GP17-OCE_3_38,ADL,2.4003265879861506e-06,-52.7019,-75.0972
252,GP15_3_3,AJ,0.000900585528605954,55.08013,-155.72003
253,GP15_3_4,AJ,0.0008475404148339491,55.07994,-155.72033
254,GP15_3_5,AJ,0.0006386663881167321,53.68004,-153.79988
255,GP15_3_6,AJ,0.0010508086568429202,52.00014,-151.99978
256,GP15_3_8,AJ,0.0004363787738618827,47.00009,-151.99986
257,GP15_3_9,AJ,0.0004466962356997484,44.50019,-151.99984
258,GP15_3_10,AJ,0.0006972579241024667,41.99998,-151.99985
259,GP15_3_12,AJ,0.00020539135366987336,37.00007,-152.00017
260,GP15_3_14,AJ,0.0003336546289508189,32.00006,-151.99991
261,GP15_3_15,AJ,0.0003481868489432132,29.5003,-152.0005
262,GP15_3_16,AJ,0.0002230423179987403,26.99984,-152.00004
263,GP15_3_18,AJ,0.00029857897763104196,22.00015,-152.00005
264,GP15_3_18-3,AJ,0.0004021549477887604,19.68113,-154.51301
265,GP15_3_19,AJ,0.0003070959313603704,17.49998,-152.00007
266,GP15_3_21,AJ,5.32767973643359e-05,11.00013,-152.00001
267,GP15_3_23,AJ,0.00025889665206866967,7.52686,-152.01638
268,GP15_3_25,AJ,0.0005087201463680178,5.01547,-152.333
269,GP15_3_27,AJ,0.000409784102493123,2.49982,-152.01363
270,GP15_3_29,AJ,0.0002120998290460921,0.032,-152.01378
271,GP15_3_31,AJ,0.00045256634448867294,-2.50475,-152.00003
272,GP15_3_33,AJ,0.000490452219689879,-4.99972,-152.0347
273,GP15_3_35,AJ,0.0004973109516873146,-10.49975,-151.99948
274,GP15_3_37,AJ,0.00029199521513834217,-14.9986,-151.99808
275,GP15_3_39,AJ,0.0002595191272142803,-19.99443,-152.09907
276,GP17-OCE_3_1,AJ,0.0002912890293697946,-19.9999,-152.0003
277,GP17-OCE_3_3,AJ,0.000359356786169878,-24.9996,-151.25
278,GP17-OCE_3_6,AJ,0.0003487702557427591,-32.5,-150.0012
279,GP17-OCE_3_8,AJ,0.0007313542710809611,-37.5001,-149.2803
280,GP17-OCE_3_10,AJ,0.0008667280650540666,-42.5003,-148.4706
281,GP17-OCE_3_12,AJ,0.0008403346062870384,-47.5,-147.5199
282,GP17-OCE_3_14,AJ,0.0005883832368525125,-52.312,-146.4033
283,GP17-OCE_3_16,AJ,0.0004323588667678003,-54.9995,-145.6559
284,GP17-OCE_3_18,AJ,0.0009684801284224159,-56.1052,-145.3377
285,GP17-OCE_3_20,AJ,0.0011952477676809457,-57.6014,-144.8581
