,stn,clade,sum,lat,lon
0,GP15_3_3, Proteobacteria,0.0,55.08013,-155.72003
1,GP15_3_4, Proteobacteria,0.0,55.07994,-155.72033
2,GP15_3_5, Proteobacteria,0.0,53.68004,-153.79988
3,GP15_3_6, Proteobacteria,0.0,52.00014,-151.99978
4,GP15_3_8, Proteobacteria,2.405178955485619e-05,47.00009,-151.99986
5,GP15_3_9, Proteobacteria,9.73386114597311e-06,44.50019,-151.99984
6,GP15_3_10, Proteobacteria,0.0,41.99998,-151.99985
7,GP15_3_12, Proteobacteria,1.1898652305036282e-05,37.00007,-152.00017
8,GP15_3_14, Proteobacteria,1.2222614744410334e-05,32.00006,-151.99991
9,GP15_3_15, Proteobacteria,0.0,29.5003,-152.0005
10,GP15_3_16, Proteobacteria,0.0,26.99984,-152.00004
11,GP15_3_18, Proteobacteria,1.4009637271019684e-05,22.00015,-152.00005
12,GP15_3_18-3, Proteobacteria,0.0,19.68113,-154.51301
13,GP15_3_19, Proteobacteria,0.0,17.49998,-152.00007
14,GP15_3_21, Proteobacteria,0.0,11.00013,-152.00001
15,GP15_3_23, Proteobacteria,3.770917642508533e-05,7.52686,-152.01638
16,GP15_3_25, Proteobacteria,0.0,5.01547,-152.333
17,GP15_3_27, Proteobacteria,0.0,2.49982,-152.01363
18,GP15_3_29, Proteobacteria,0.0,0.032,-152.01378
19,GP15_3_31, Proteobacteria,0.0,-2.50475,-152.00003
20,GP15_3_33, Proteobacteria,0.0,-4.99972,-152.0347
21,GP15_3_35, Proteobacteria,0.0,-10.49975,-151.99948
22,GP15_3_37, Proteobacteria,2.0939208059777564e-05,-14.9986,-151.99808
23,GP15_3_39, Proteobacteria,0.0,-19.99443,-152.09907
24,GP17-OCE_3_1, Proteobacteria,0.0,-19.9999,-152.0003
25,GP17-OCE_3_3, Proteobacteria,0.0,-24.9996,-151.25
26,GP17-OCE_3_6, Proteobacteria,2.8516770957961943e-05,-32.5,-150.0012
27,GP17-OCE_3_8, Proteobacteria,0.0,-37.5001,-149.2803
28,GP17-OCE_3_10, Proteobacteria,0.0002551781509511,-42.5003,-148.4706
29,GP17-OCE_3_12, Proteobacteria,2.4519392478209248e-05,-47.5,-147.5199
30,GP17-OCE_3_14, Proteobacteria,1.259732080514826e-05,-52.312,-146.4033
31,GP17-OCE_3_16, Proteobacteria,0.0002301515405966,-54.9995,-145.6559
32,GP17-OCE_3_18, Proteobacteria,0.0,-56.1052,-145.3377
33,GP17-OCE_3_20, Proteobacteria,0.0,-57.6014,-144.8581
34,GP17-OCE_3_22, Proteobacteria,0.0,-59.9971,-143.9992
35,GP17-OCE_3_25, Proteobacteria,0.0,-66.9998,-134.9994
36,GP17-OCE_3_27, Proteobacteria,0.0,-67.0003,-115.0079
37,GP17-OCE_3_32, Proteobacteria,0.0001397652342491,-59.9984,-82.4956
38,GP17-OCE_3_33, Proteobacteria,0.0001947227169198,-57.0001,-78.9996
