,stn,clade,sum,lat,lon
0,GP15_3_3,Actinobacteria,0.0,55.08013,-155.72003
1,GP15_3_4,Actinobacteria,0.0,55.07994,-155.72033
2,GP15_3_5,Actinobacteria,0.0,53.68004,-153.79988
3,GP15_3_6,Actinobacteria,0.0,52.00014,-151.99978
4,GP15_3_8,Actinobacteria,0.0,47.00009,-151.99986
5,GP15_3_9,Actinobacteria,0.0,44.50019,-151.99984
6,GP15_3_10,Actinobacteria,0.0,41.99998,-151.99985
7,GP15_3_12,Actinobacteria,0.0,37.00007,-152.00017
8,GP15_3_14,Actinobacteria,0.0,32.00006,-151.99991
9,GP15_3_15,Actinobacteria,0.0,29.5003,-152.0005
10,GP15_3_16,Actinobacteria,0.0,26.99984,-152.00004
11,GP15_3_18,Actinobacteria,3.416543798997058e-05,22.00015,-152.00005
12,GP15_3_18-3,Actinobacteria,0.0,19.68113,-154.51301
13,GP15_3_19,Actinobacteria,0.0,17.49998,-152.00007
14,GP15_3_21,Actinobacteria,0.0,11.00013,-152.00001
15,GP15_3_23,Actinobacteria,0.0,7.52686,-152.01638
16,GP15_3_25,Actinobacteria,0.0,5.01547,-152.333
17,GP15_3_27,Actinobacteria,0.0,2.49982,-152.01363
18,GP15_3_29,Actinobacteria,0.0,0.032,-152.01378
19,GP15_3_31,Actinobacteria,0.0,-2.50475,-152.00003
20,GP15_3_33,Actinobacteria,0.0,-4.99972,-152.0347
21,GP15_3_35,Actinobacteria,0.0,-10.49975,-151.99948
22,GP15_3_37,Actinobacteria,2.749115380751442e-05,-14.9986,-151.99808
23,GP15_3_39,Actinobacteria,0.0,-19.99443,-152.09907
24,GP17-OCE_3_1,Actinobacteria,0.0,-19.9999,-152.0003
25,GP17-OCE_3_3,Actinobacteria,0.0,-24.9996,-151.25
26,GP17-OCE_3_6,Actinobacteria,0.0,-32.5,-150.0012
27,GP17-OCE_3_8,Actinobacteria,0.0,-37.5001,-149.2803
28,GP17-OCE_3_10,Actinobacteria,1.4980607866785628e-05,-42.5003,-148.4706
29,GP17-OCE_3_12,Actinobacteria,0.0,-47.5,-147.5199
30,GP17-OCE_3_14,Actinobacteria,0.0,-52.312,-146.4033
31,GP17-OCE_3_16,Actinobacteria,0.0,-54.9995,-145.6559
32,GP17-OCE_3_18,Actinobacteria,0.0,-56.1052,-145.3377
33,GP17-OCE_3_20,Actinobacteria,2.9464953877380865e-05,-57.6014,-144.8581
34,GP17-OCE_3_22,Actinobacteria,0.0,-59.9971,-143.9992
35,GP17-OCE_3_25,Actinobacteria,0.0,-66.9998,-134.9994
36,GP17-OCE_3_27,Actinobacteria,0.0,-67.0003,-115.0079
37,GP17-OCE_3_32,Actinobacteria,0.0,-59.9984,-82.4956
38,GP17-OCE_3_33,Actinobacteria,0.0,-57.0001,-78.9996
39,GP17-OCE_3_35,Actinobacteria,0.0,-54.3512,-76.5493
40,GP17-OCE_3_37,Actinobacteria,0.0,-53.4991,-75.751
41,GP17-OCE_3_38,Actinobacteria,0.0,-52.7019,-75.0972
42,GP15_3_3,Actinobacteria (Class),0.0002953158980490618,55.08013,-155.72003
43,GP15_3_4,Actinobacteria (Class),9.03043082421185e-05,55.07994,-155.72033
44,GP15_3_5,Actinobacteria (Class),9.32667380832908e-05,53.68004,-153.79988
45,GP15_3_6,Actinobacteria (Class),0.0001082390089942719,52.00014,-151.99978
46,GP15_3_8,Actinobacteria (Class),0.0003121394714891855,47.00009,-151.99986
47,GP15_3_9,Actinobacteria (Class),0.0004260391423600439,44.50019,-151.99984
48,GP15_3_10,Actinobacteria (Class),9.189103657110844e-05,41.99998,-151.99985
49,GP15_3_12,Actinobacteria (Class),0.00032918018270728375,37.00007,-152.00017
50,GP15_3_14,Actinobacteria (Class),0.00017832064859309258,32.00006,-151.99991
51,GP15_3_15,Actinobacteria (Class),0.00029979107530452096,29.5003,-152.0005
52,GP15_3_16,Actinobacteria (Class),0.00017675986335622247,26.99984,-152.00004
53,GP15_3_18,Actinobacteria (Class),0.0005940053886947363,22.00015,-152.00005
54,GP15_3_18-3,Actinobacteria (Class),0.000776330444152485,19.68113,-154.51301
55,GP15_3_19,Actinobacteria (Class),0.000662040663166623,17.49998,-152.00007
56,GP15_3_21,Actinobacteria (Class),9.304395370060309e-05,11.00013,-152.00001
57,GP15_3_23,Actinobacteria (Class),0.00038535618834961336,7.52686,-152.01638
58,GP15_3_25,Actinobacteria (Class),0.00030126068736882074,5.01547,-152.333
59,GP15_3_27,Actinobacteria (Class),0.0,2.49982,-152.01363
60,GP15_3_29,Actinobacteria (Class),9.795743783337573e-05,0.032,-152.01378
61,GP15_3_31,Actinobacteria (Class),0.00011235440499768718,-2.50475,-152.00003
62,GP15_3_33,Actinobacteria (Class),0.00020215363525082926,-4.99972,-152.0347
63,GP15_3_35,Actinobacteria (Class),7.15769058678171e-05,-10.49975,-151.99948
64,GP15_3_37,Actinobacteria (Class),0.00023548615713578515,-14.9986,-151.99808
65,GP15_3_39,Actinobacteria (Class),0.0004516209051324629,-19.99443,-152.09907
66,GP17-OCE_3_1,Actinobacteria (Class),0.0003672812373951462,-19.9999,-152.0003
67,GP17-OCE_3_3,Actinobacteria (Class),0.0005288836313410141,-24.9996,-151.25
68,GP17-OCE_3_6,Actinobacteria (Class),0.0003836046634904293,-32.5,-150.0012
69,GP17-OCE_3_8,Actinobacteria (Class),5.858899383562127e-05,-37.5001,-149.2803
70,GP17-OCE_3_10,Actinobacteria (Class),5.871892192588256e-05,-42.5003,-148.4706
71,GP17-OCE_3_12,Actinobacteria (Class),0.0004110853705749237,-47.5,-147.5199
72,GP17-OCE_3_14,Actinobacteria (Class),2.7013338829169383e-05,-52.312,-146.4033
73,GP17-OCE_3_16,Actinobacteria (Class),0.00035630467316031004,-54.9995,-145.6559
74,GP17-OCE_3_18,Actinobacteria (Class),0.000142204259595227,-56.1052,-145.3377
75,GP17-OCE_3_20,Actinobacteria (Class),0.0,-57.6014,-144.8581
76,GP17-OCE_3_22,Actinobacteria (Class),3.37891909139977e-05,-59.9971,-143.9992
77,GP17-OCE_3_25,Actinobacteria (Class),3.347807455718885e-05,-66.9998,-134.9994
78,GP17-OCE_3_27,Actinobacteria (Class),0.00026047344364257965,-67.0003,-115.0079
79,GP17-OCE_3_32,Actinobacteria (Class),0.00045450655943738187,-59.9984,-82.4956
80,GP17-OCE_3_33,Actinobacteria (Class),0.0003870050801505304,-57.0001,-78.9996
81,GP17-OCE_3_35,Actinobacteria (Class),0.000249074839450454,-54.3512,-76.5493
82,GP17-OCE_3_37,Actinobacteria (Class),0.0001456489686113815,-53.4991,-75.751
83,GP17-OCE_3_38,Actinobacteria (Class),6.445211101967663e-05,-52.7019,-75.0972
84,GP15_3_3,Alphaproteobacteria,0.014741901874262327,55.08013,-155.72003
85,GP15_3_4,Alphaproteobacteria,0.011893566093906969,55.07994,-155.72033
86,GP15_3_5,Alphaproteobacteria,0.010885152467832497,53.68004,-153.79988
87,GP15_3_6,Alphaproteobacteria,0.010886237896278766,52.00014,-151.99978
88,GP15_3_8,Alphaproteobacteria,0.03500806021720726,47.00009,-151.99986
89,GP15_3_9,Alphaproteobacteria,0.017322874144374664,44.50019,-151.99984
90,GP15_3_10,Alphaproteobacteria,0.032914970653500325,41.99998,-151.99985
91,GP15_3_12,Alphaproteobacteria,0.035677367671298116,37.00007,-152.00017
92,GP15_3_14,Alphaproteobacteria,0.04775798910898224,32.00006,-151.99991
93,GP15_3_15,Alphaproteobacteria,0.04310640739758294,29.5003,-152.0005
94,GP15_3_16,Alphaproteobacteria,0.053468996880466954,26.99984,-152.00004
95,GP15_3_18,Alphaproteobacteria,0.05859625251866844,22.00015,-152.00005
96,GP15_3_18-3,Alphaproteobacteria,0.057769752866598106,19.68113,-154.51301
97,GP15_3_19,Alphaproteobacteria,0.07044650953645043,17.49998,-152.00007
98,GP15_3_21,Alphaproteobacteria,0.049898044452202625,11.00013,-152.00001
99,GP15_3_23,Alphaproteobacteria,0.08719713821512678,7.52686,-152.01638
100,GP15_3_25,Alphaproteobacteria,0.056027390805509336,5.01547,-152.333
101,GP15_3_27,Alphaproteobacteria,0.027645945131921076,2.49982,-152.01363
102,GP15_3_29,Alphaproteobacteria,0.014573057083455845,0.032,-152.01378
103,GP15_3_31,Alphaproteobacteria,0.031189765661568697,-2.50475,-152.00003
104,GP15_3_33,Alphaproteobacteria,0.04695459225076796,-4.99972,-152.0347
105,GP15_3_35,Alphaproteobacteria,0.03208996933182542,-10.49975,-151.99948
106,GP15_3_37,Alphaproteobacteria,0.07804469835425906,-14.9986,-151.99808
107,GP15_3_39,Alphaproteobacteria,0.06781690393426162,-19.99443,-152.09907
108,GP17-OCE_3_1,Alphaproteobacteria,0.07892841969466052,-19.9999,-152.0003
109,GP17-OCE_3_3,Alphaproteobacteria,0.07018422353512577,-24.9996,-151.25
110,GP17-OCE_3_6,Alphaproteobacteria,0.08357572866078941,-32.5,-150.0012
111,GP17-OCE_3_8,Alphaproteobacteria,0.015726352601555346,-37.5001,-149.2803
112,GP17-OCE_3_10,Alphaproteobacteria,0.026527804036325094,-42.5003,-148.4706
113,GP17-OCE_3_12,Alphaproteobacteria,0.026529304498140987,-47.5,-147.5199
114,GP17-OCE_3_14,Alphaproteobacteria,0.008391749343516558,-52.312,-146.4033
115,GP17-OCE_3_16,Alphaproteobacteria,0.03417091579253652,-54.9995,-145.6559
116,GP17-OCE_3_18,Alphaproteobacteria,0.011396963477614949,-56.1052,-145.3377
117,GP17-OCE_3_20,Alphaproteobacteria,0.015249257478267495,-57.6014,-144.8581
118,GP17-OCE_3_22,Alphaproteobacteria,0.007300827840557798,-59.9971,-143.9992
119,GP17-OCE_3_25,Alphaproteobacteria,0.006670196534345406,-66.9998,-134.9994
120,GP17-OCE_3_27,Alphaproteobacteria,0.018029682792559475,-67.0003,-115.0079
121,GP17-OCE_3_32,Alphaproteobacteria,0.03498152440837467,-59.9984,-82.4956
122,GP17-OCE_3_33,Alphaproteobacteria,0.04767219310593763,-57.0001,-78.9996
123,GP17-OCE_3_35,Alphaproteobacteria,0.03407843641317103,-54.3512,-76.5493
124,GP17-OCE_3_37,Alphaproteobacteria,0.009118229329153434,-53.4991,-75.751
125,GP17-OCE_3_38,Alphaproteobacteria,0.011184971060375177,-52.7019,-75.0972
126,GP15_3_3,Aquificae,2.823364002550853e-05,55.08013,-155.72003
127,GP15_3_4,Aquificae,5.659280969542498e-06,55.07994,-155.72033
128,GP15_3_5,Aquificae,0.0,53.68004,-153.79988
129,GP15_3_6,Aquificae,2.7756854299833857e-05,52.00014,-151.99978
130,GP15_3_8,Aquificae,2.5867161712814528e-05,47.00009,-151.99986
131,GP15_3_9,Aquificae,0.0,44.50019,-151.99984
132,GP15_3_10,Aquificae,0.0003178445312817,41.99998,-151.99985
133,GP15_3_12,Aquificae,3.811602179070945e-05,37.00007,-152.00017
134,GP15_3_14,Aquificae,7.830759954893401e-05,32.00006,-151.99991
135,GP15_3_15,Aquificae,0.000219802560844,29.5003,-152.0005
136,GP15_3_16,Aquificae,5.731454149246572e-05,26.99984,-152.00004
137,GP15_3_18,Aquificae,0.00014436962635178352,22.00015,-152.00005
138,GP15_3_18-3,Aquificae,0.0003289730831777,19.68113,-154.51301
139,GP15_3_19,Aquificae,0.0001221203407514,17.49998,-152.00007
140,GP15_3_21,Aquificae,0.0003209507792795,11.00013,-152.00001
141,GP15_3_23,Aquificae,0.0002887174503331,7.52686,-152.01638
142,GP15_3_25,Aquificae,0.0003694741544525,5.01547,-152.333
143,GP15_3_27,Aquificae,0.0003733463015425,2.49982,-152.01363
144,GP15_3_29,Aquificae,0.0,0.032,-152.01378
145,GP15_3_31,Aquificae,3.731936699519026e-05,-2.50475,-152.00003
146,GP15_3_33,Aquificae,7.742041015719968e-06,-4.99972,-152.0347
147,GP15_3_35,Aquificae,0.0,-10.49975,-151.99948
148,GP15_3_37,Aquificae,0.0003250013522159,-14.9986,-151.99808
149,GP15_3_39,Aquificae,0.0004450894463414,-19.99443,-152.09907
150,GP17-OCE_3_1,Aquificae,0.0,-19.9999,-152.0003
151,GP17-OCE_3_3,Aquificae,0.0,-24.9996,-151.25
152,GP17-OCE_3_6,Aquificae,0.0,-32.5,-150.0012
153,GP17-OCE_3_8,Aquificae,0.0,-37.5001,-149.2803
154,GP17-OCE_3_10,Aquificae,0.0,-42.5003,-148.4706
155,GP17-OCE_3_12,Aquificae,0.0,-47.5,-147.5199
156,GP17-OCE_3_14,Aquificae,6.252572643530904e-05,-52.312,-146.4033
157,GP17-OCE_3_16,Aquificae,0.0,-54.9995,-145.6559
158,GP17-OCE_3_18,Aquificae,0.0,-56.1052,-145.3377
159,GP17-OCE_3_20,Aquificae,0.0,-57.6014,-144.8581
160,GP17-OCE_3_22,Aquificae,1.792397032626049e-05,-59.9971,-143.9992
161,GP17-OCE_3_25,Aquificae,0.0,-66.9998,-134.9994
162,GP17-OCE_3_27,Aquificae,0.0,-67.0003,-115.0079
163,GP17-OCE_3_32,Aquificae,0.0,-59.9984,-82.4956
164,GP17-OCE_3_33,Aquificae,0.0,-57.0001,-78.9996
165,GP17-OCE_3_35,Aquificae,0.0,-54.3512,-76.5493
166,GP17-OCE_3_37,Aquificae,0.0,-53.4991,-75.751
167,GP17-OCE_3_38,Aquificae,0.0,-52.7019,-75.0972
168,GP15_3_3,Aquificae (Class),0.0,55.08013,-155.72003
169,GP15_3_4,Aquificae (Class),0.0,55.07994,-155.72033
170,GP15_3_5,Aquificae (Class),2.5058735663183013e-05,53.68004,-153.79988
171,GP15_3_6,Aquificae (Class),0.0,52.00014,-151.99978
172,GP15_3_8,Aquificae (Class),0.0,47.00009,-151.99986
173,GP15_3_9,Aquificae (Class),6.176264107666123e-05,44.50019,-151.99984
174,GP15_3_10,Aquificae (Class),0.0,41.99998,-151.99985
175,GP15_3_12,Aquificae (Class),3.9802571427466505e-05,37.00007,-152.00017
176,GP15_3_14,Aquificae (Class),0.0,32.00006,-151.99991
177,GP15_3_15,Aquificae (Class),0.0,29.5003,-152.0005
178,GP15_3_16,Aquificae (Class),0.0001475470569533,26.99984,-152.00004
179,GP15_3_18,Aquificae (Class),4.6864096357924255e-05,22.00015,-152.00005
180,GP15_3_18-3,Aquificae (Class),8.588235357294805e-05,19.68113,-154.51301
181,GP15_3_19,Aquificae (Class),0.0002125398260866,17.49998,-152.00007
182,GP15_3_21,Aquificae (Class),7.514323800593408e-05,11.00013,-152.00001
183,GP15_3_23,Aquificae (Class),0.0001678376942728151,7.52686,-152.01638
184,GP15_3_25,Aquificae (Class),0.0002769794051402752,5.01547,-152.333
185,GP15_3_27,Aquificae (Class),0.0,2.49982,-152.01363
186,GP15_3_29,Aquificae (Class),0.0,0.032,-152.01378
187,GP15_3_31,Aquificae (Class),3.643081063816192e-05,-2.50475,-152.00003
188,GP15_3_33,Aquificae (Class),0.00017097523814114745,-4.99972,-152.0347
189,GP15_3_35,Aquificae (Class),3.262138725422146e-05,-10.49975,-151.99948
190,GP15_3_37,Aquificae (Class),6.763696571690055e-05,-14.9986,-151.99808
191,GP15_3_39,Aquificae (Class),0.0001991930012703,-19.99443,-152.09907
192,GP17-OCE_3_1,Aquificae (Class),0.0,-19.9999,-152.0003
193,GP17-OCE_3_3,Aquificae (Class),0.00011680775411503463,-24.9996,-151.25
194,GP17-OCE_3_6,Aquificae (Class),0.0001027108476096,-32.5,-150.0012
195,GP17-OCE_3_8,Aquificae (Class),8.434632319123638e-05,-37.5001,-149.2803
196,GP17-OCE_3_10,Aquificae (Class),0.0,-42.5003,-148.4706
197,GP17-OCE_3_12,Aquificae (Class),0.0,-47.5,-147.5199
198,GP17-OCE_3_14,Aquificae (Class),0.0001490196480040697,-52.312,-146.4033
199,GP17-OCE_3_16,Aquificae (Class),0.00018039013432258948,-54.9995,-145.6559
200,GP17-OCE_3_18,Aquificae (Class),0.0,-56.1052,-145.3377
201,GP17-OCE_3_20,Aquificae (Class),0.0,-57.6014,-144.8581
202,GP17-OCE_3_22,Aquificae (Class),3.6744139168834e-05,-59.9971,-143.9992
203,GP17-OCE_3_25,Aquificae (Class),0.0,-66.9998,-134.9994
204,GP17-OCE_3_27,Aquificae (Class),1.813332195250994e-05,-67.0003,-115.0079
205,GP17-OCE_3_32,Aquificae (Class),0.0,-59.9984,-82.4956
206,GP17-OCE_3_33,Aquificae (Class),6.686064042720009e-05,-57.0001,-78.9996
207,GP17-OCE_3_35,Aquificae (Class),4.771729795704916e-05,-54.3512,-76.5493
208,GP17-OCE_3_37,Aquificae (Class),1.7554839166060193e-05,-53.4991,-75.751
209,GP17-OCE_3_38,Aquificae (Class),0.0,-52.7019,-75.0972
210,GP15_3_3,Archaeoglobi,0.0,55.08013,-155.72003
211,GP15_3_4,Archaeoglobi,0.0,55.07994,-155.72033
212,GP15_3_5,Archaeoglobi,0.0,53.68004,-153.79988
213,GP15_3_6,Archaeoglobi,0.0,52.00014,-151.99978
214,GP15_3_8,Archaeoglobi,0.0,47.00009,-151.99986
215,GP15_3_9,Archaeoglobi,0.0,44.50019,-151.99984
216,GP15_3_10,Archaeoglobi,0.0,41.99998,-151.99985
217,GP15_3_12,Archaeoglobi,0.0,37.00007,-152.00017
218,GP15_3_14,Archaeoglobi,0.0,32.00006,-151.99991
219,GP15_3_15,Archaeoglobi,0.0,29.5003,-152.0005
220,GP15_3_16,Archaeoglobi,0.0,26.99984,-152.00004
221,GP15_3_18,Archaeoglobi,0.0,22.00015,-152.00005
222,GP15_3_18-3,Archaeoglobi,0.0,19.68113,-154.51301
223,GP15_3_19,Archaeoglobi,7.116148251197793e-05,17.49998,-152.00007
224,GP15_3_21,Archaeoglobi,0.0,11.00013,-152.00001
225,GP15_3_23,Archaeoglobi,0.0,7.52686,-152.01638
226,GP15_3_25,Archaeoglobi,2.935888904067014e-05,5.01547,-152.333
227,GP15_3_27,Archaeoglobi,0.0,2.49982,-152.01363
228,GP15_3_29,Archaeoglobi,0.0,0.032,-152.01378
229,GP15_3_31,Archaeoglobi,0.0,-2.50475,-152.00003
230,GP15_3_33,Archaeoglobi,0.0,-4.99972,-152.0347
231,GP15_3_35,Archaeoglobi,0.0,-10.49975,-151.99948
232,GP15_3_37,Archaeoglobi,0.0,-14.9986,-151.99808
233,GP15_3_39,Archaeoglobi,0.0,-19.99443,-152.09907
234,GP17-OCE_3_1,Archaeoglobi,2.254933504678504e-05,-19.9999,-152.0003
235,GP17-OCE_3_3,Archaeoglobi,0.0001011553572824,-24.9996,-151.25
236,GP17-OCE_3_6,Archaeoglobi,4.8663839747968595e-05,-32.5,-150.0012
237,GP17-OCE_3_8,Archaeoglobi,0.0,-37.5001,-149.2803
238,GP17-OCE_3_10,Archaeoglobi,0.0,-42.5003,-148.4706
239,GP17-OCE_3_12,Archaeoglobi,0.0,-47.5,-147.5199
240,GP17-OCE_3_14,Archaeoglobi,0.0,-52.312,-146.4033
241,GP17-OCE_3_16,Archaeoglobi,0.0,-54.9995,-145.6559
242,GP17-OCE_3_18,Archaeoglobi,0.0,-56.1052,-145.3377
243,GP17-OCE_3_20,Archaeoglobi,0.0,-57.6014,-144.8581
244,GP17-OCE_3_22,Archaeoglobi,0.0,-59.9971,-143.9992
245,GP17-OCE_3_25,Archaeoglobi,0.0,-66.9998,-134.9994
246,GP17-OCE_3_27,Archaeoglobi,0.0,-67.0003,-115.0079
247,GP17-OCE_3_32,Archaeoglobi,0.0,-59.9984,-82.4956
248,GP17-OCE_3_33,Archaeoglobi,0.0,-57.0001,-78.9996
249,GP17-OCE_3_35,Archaeoglobi,0.0,-54.3512,-76.5493
250,GP17-OCE_3_37,Archaeoglobi,0.0,-53.4991,-75.751
251,GP17-OCE_3_38,Archaeoglobi,0.0,-52.7019,-75.0972
252,GP15_3_3,Ascomycota,7.863413592119897e-05,55.08013,-155.72003
253,GP15_3_4,Ascomycota,7.885586805100704e-05,55.07994,-155.72033
254,GP15_3_5,Ascomycota,0.00022975374030553803,53.68004,-153.79988
255,GP15_3_6,Ascomycota,0.00022096945041755233,52.00014,-151.99978
256,GP15_3_8,Ascomycota,9.957201569119878e-05,47.00009,-151.99986
257,GP15_3_9,Ascomycota,0.00013593526711023124,44.50019,-151.99984
258,GP15_3_10,Ascomycota,0.00011945171133844833,41.99998,-151.99985
259,GP15_3_12,Ascomycota,6.273541546385528e-05,37.00007,-152.00017
260,GP15_3_14,Ascomycota,0.0001195235057470919,32.00006,-151.99991
261,GP15_3_15,Ascomycota,0.00025438533524728993,29.5003,-152.0005
262,GP15_3_16,Ascomycota,7.120288625236051e-05,26.99984,-152.00004
263,GP15_3_18,Ascomycota,9.006195388512654e-06,22.00015,-152.00005
264,GP15_3_18-3,Ascomycota,6.370776357389197e-05,19.68113,-154.51301
265,GP15_3_19,Ascomycota,3.267619094937762e-05,17.49998,-152.00007
266,GP15_3_21,Ascomycota,2.104010664166154e-05,11.00013,-152.00001
267,GP15_3_23,Ascomycota,7.42734292217513e-05,7.52686,-152.01638
268,GP15_3_25,Ascomycota,0.00010041281202531312,5.01547,-152.333
269,GP15_3_27,Ascomycota,4.507887409774383e-05,2.49982,-152.01363
270,GP15_3_29,Ascomycota,0.000211477307675586,0.032,-152.01378
271,GP15_3_31,Ascomycota,8.507461684264098e-05,-2.50475,-152.00003
272,GP15_3_33,Ascomycota,0.00014514504628154235,-4.99972,-152.0347
273,GP15_3_35,Ascomycota,0.00016305028904412737,-10.49975,-151.99948
274,GP15_3_37,Ascomycota,2.898727102152881e-05,-14.9986,-151.99808
275,GP15_3_39,Ascomycota,5.563401806456163e-05,-19.99443,-152.09907
276,GP17-OCE_3_1,Ascomycota,8.148529302378502e-05,-19.9999,-152.0003
277,GP17-OCE_3_3,Ascomycota,0.0004144225494989421,-24.9996,-151.25
278,GP17-OCE_3_6,Ascomycota,7.753706894303612e-05,-32.5,-150.0012
