,stn,clade,sum,lat,lon
0,GP15_02_1,Actinobacteria,1.7905476705039e-05,56.05909,-156.96154
1,GP15_02_3,Actinobacteria,0.0,55.08013,-155.72003
2,GP15_02_4,Actinobacteria,0.0,55.07994,-155.72033
3,GP15_02_5,Actinobacteria,0.0,53.68004,-153.79988
4,GP15_02_6,Actinobacteria,0.0,52.00014,-151.99978
5,GP15_02_8,Actinobacteria,0.0,47.00009,-151.99986
6,GP15_02_9,Actinobacteria,0.0,44.50019,-151.99984
7,GP15_02_10,Actinobacteria,0.0,41.99998,-151.99985
8,GP15_02_12,Actinobacteria,1.56477519913806e-05,37.00007,-152.00017
9,GP15_02_14,Actinobacteria,2.77943342847704e-05,32.00006,-151.99991
10,GP15_02_15,Actinobacteria,0.0,29.5003,-152.0005
11,GP15_02_16,Actinobacteria,7.24538071620244e-05,26.99984,-152.00004
12,GP15_02_18,Actinobacteria,0.0,22.00015,-152.00005
13,GP15_02_18-3,Actinobacteria,0.0,19.68113,-154.51301
14,GP15_02_19,Actinobacteria,0.0,17.49998,-152.00007
15,GP15_02_21,Actinobacteria,0.0,11.00013,-152.00001
16,GP15_02_23,Actinobacteria,0.0,7.52686,-152.01638
17,GP15_02_25,Actinobacteria,0.0,5.01547,-152.0233
18,GP15_02_27,Actinobacteria,0.0,2.49982,-152.01363
19,GP15_02_29,Actinobacteria,0.0,0.0022,-152.01378
20,GP15_02_31,Actinobacteria,0.0,-2.50475,-152.00003
21,GP15_02_33,Actinobacteria,0.0,-4.99972,-152.00247
22,GP15_02_35,Actinobacteria,0.0,-10.49975,-151.99948
23,GP15_02_37,Actinobacteria,0.0,-14.9986,-151.99808
24,GP15_02_39,Actinobacteria,0.0,-19.99443,-152.09907
25,GP17-OCE_02_1,Actinobacteria,0.0,-19.9999,-152.0003
26,GP17-OCE_02_3,Actinobacteria,2.47536551724209e-05,-24.9996,-151.25
27,GP17-OCE_02_6,Actinobacteria,4.9953680233601e-05,-32.5,-150.0012
28,GP17-OCE_02_8,Actinobacteria,0.0,-37.5001,-149.2803
29,GP17-OCE_02_10,Actinobacteria,0.0,-42.5003,-148.4706
30,GP17-OCE_02_12,Actinobacteria,0.0,-47.5,-147.5199
31,GP17-OCE_02_14,Actinobacteria,0.0,-52.312,-146.4033
32,GP17-OCE_02_16,Actinobacteria,0.0,-54.9995,-145.6559
33,GP17-OCE_02_18,Actinobacteria,0.0,-56.1052,-145.3377
34,GP17-OCE_02_20,Actinobacteria,0.0,-57.6014,-144.8581
35,GP17-OCE_02_22,Actinobacteria,0.0,-59.9971,-143.9992
36,GP17-OCE_02_25,Actinobacteria,0.0,-66.9998,-134.9994
37,GP17-OCE_02_27,Actinobacteria,0.0,-67.0003,-115.0079
38,GP17-OCE_02_29,Actinobacteria,0.0,-66.9988,-100.001
39,GP17-OCE_02_32,Actinobacteria,0.0,-59.9984,-82.4956
40,GP17-OCE_02_33,Actinobacteria,0.0,-57.0001,-78.9996
41,GP17-OCE_02_35,Actinobacteria,0.0,-54.3512,-76.5493
42,GP17-OCE_02_37,Actinobacteria,1.3755630128136559e-05,-53.4991,-75.751
43,GP17-OCE_02_38,Actinobacteria,0.0,-52.7019,-75.0972
44,GP15_02_1,Actinobacteria (Class),0.0010667057453911406,56.05909,-156.96154
45,GP15_02_3,Actinobacteria (Class),0.001981672408172631,55.08013,-155.72003
46,GP15_02_4,Actinobacteria (Class),0.0021149993662780506,55.07994,-155.72033
47,GP15_02_5,Actinobacteria (Class),0.0028968578676719253,53.68004,-153.79988
48,GP15_02_6,Actinobacteria (Class),0.00271392208440525,52.00014,-151.99978
49,GP15_02_8,Actinobacteria (Class),0.0029345083493368266,47.00009,-151.99986
50,GP15_02_9,Actinobacteria (Class),0.0026674154699597684,44.50019,-151.99984
51,GP15_02_10,Actinobacteria (Class),0.0016614445136922816,41.99998,-151.99985
52,GP15_02_12,Actinobacteria (Class),0.002346358315949486,37.00007,-152.00017
53,GP15_02_14,Actinobacteria (Class),0.0011741608788378847,32.00006,-151.99991
54,GP15_02_15,Actinobacteria (Class),0.0011576421949800724,29.5003,-152.0005
55,GP15_02_16,Actinobacteria (Class),0.0016777023107581582,26.99984,-152.00004
56,GP15_02_18,Actinobacteria (Class),0.0017855591974594107,22.00015,-152.00005
