,stn,clade,sum,lat,lon
0,GP15_02_1,Acanthoeca-like sp.,0.0018118570838984696,56.05909,-156.96154
1,GP15_02_3,Acanthoeca-like sp.,0.003714488280178375,55.08013,-155.72003
2,GP15_02_4,Acanthoeca-like sp.,0.0033812432292139333,55.07994,-155.72033
3,GP15_02_5,Acanthoeca-like sp.,0.0038594591900810845,53.68004,-153.79988
4,GP15_02_6,Acanthoeca-like sp.,0.004140689198086499,52.00014,-151.99978
5,GP15_02_8,Acanthoeca-like sp.,0.002911397800032994,47.00009,-151.99986
6,GP15_02_9,Acanthoeca-like sp.,0.003096145585011878,44.50019,-151.99984
7,GP15_02_10,Acanthoeca-like sp.,0.003494666609864693,41.99998,-151.99985
8,GP15_02_12,Acanthoeca-like sp.,0.004278594590305957,37.00007,-152.00017
9,GP15_02_14,Acanthoeca-like sp.,0.0037905318158146673,32.00006,-151.99991
10,GP15_02_15,Acanthoeca-like sp.,0.003752954516399439,29.5003,-152.0005
11,GP15_02_16,Acanthoeca-like sp.,0.003324433237415724,26.99984,-152.00004
12,GP15_02_18,Acanthoeca-like sp.,0.0033952621857525037,22.00015,-152.00005
13,GP15_02_18-3,Acanthoeca-like sp.,0.0034125566011186537,19.68113,-154.51301
14,GP15_02_19,Acanthoeca-like sp.,0.0040582923355971965,17.49998,-152.00007
15,GP15_02_21,Acanthoeca-like sp.,0.003353878344704265,11.00013,-152.00001
16,GP15_02_23,Acanthoeca-like sp.,0.003278189567625233,7.52686,-152.01638
17,GP15_02_25,Acanthoeca-like sp.,0.0029527916085529625,5.01547,-152.0233
18,GP15_02_27,Acanthoeca-like sp.,0.0040285287499614835,2.49982,-152.01363
19,GP15_02_29,Acanthoeca-like sp.,0.0044386952741031225,0.0022,-152.01378
20,GP15_02_31,Acanthoeca-like sp.,0.004163248717962378,-2.50475,-152.00003
21,GP15_02_33,Acanthoeca-like sp.,0.003889712786150381,-4.99972,-152.00247
