,stn,module,sum,lat,lon
93,GP15_3_15,"M00001,M00002,M00003",0.00013413354337571583,29.5003,-152.0005
94,GP15_3_16,"M00001,M00002,M00003",0.0006375248786407066,26.99984,-152.00004
95,GP15_3_18,"M00001,M00002,M00003",2.787180467602863e-05,22.00015,-152.00005
96,GP15_3_18-3,"M00001,M00002,M00003",0.00010520617664139852,19.68113,-154.51301
97,GP15_3_19,"M00001,M00002,M00003",0.00010283413199539711,17.49998,-152.00007
98,GP15_3_21,"M00001,M00002,M00003",0.0001213852306249,11.00013,-152.00001
99,GP15_3_23,"M00001,M00002,M00003",0.000318863718042338,7.52686,-152.01638
100,GP15_3_25,"M00001,M00002,M00003",0.0004084129201054987,5.01547,-152.333
101,GP15_3_27,"M00001,M00002,M00003",0.000429091911051263,2.49982,-152.01363
102,GP15_3_29,"M00001,M00002,M00003",0.0005383233126701177,0.032,-152.01378
103,GP15_3_31,"M00001,M00002,M00003",0.0005239623433270684,-2.50475,-152.00003
104,GP15_3_33,"M00001,M00002,M00003",0.0005389389815967795,-4.99972,-152.0347
105,GP15_3_35,"M00001,M00002,M00003",0.0006267506202483086,-10.49975,-151.99948
106,GP15_3_37,"M00001,M00002,M00003",0.0004897886027362042,-14.9986,-151.99808
107,GP15_3_39,"M00001,M00002,M00003",0.00044964919950036316,-19.99443,-152.09907
108,GP17-OCE_3_1,"M00001,M00002,M00003",0.0004754736276520874,-19.9999,-152.0003
109,GP17-OCE_3_3,"M00001,M00002,M00003",0.0006630846874800214,-24.9996,-151.25
110,GP17-OCE_3_6,"M00001,M00002,M00003",0.0005107714317397604,-32.5,-150.0012
111,GP17-OCE_3_8,"M00001,M00002,M00003",0.0009977131869197287,-37.5001,-149.2803
112,GP17-OCE_3_10,"M00001,M00002,M00003",0.0011620590750416235,-42.5003,-148.4706
113,GP17-OCE_3_12,"M00001,M00002,M00003",0.0012670588340854246,-47.5,-147.5199
114,GP17-OCE_3_14,"M00001,M00002,M00003",0.0015924067359902637,-52.312,-146.4033
115,GP17-OCE_3_16,"M00001,M00002,M00003",0.00101289341405991,-54.9995,-145.6559
116,GP17-OCE_3_18,"M00001,M00002,M00003",0.0012229319302380338,-56.1052,-145.3377
117,GP17-OCE_3_20,"M00001,M00002,M00003",0.0011900832124321155,-57.6014,-144.8581
118,GP17-OCE_3_22,"M00001,M00002,M00003",0.0012434029942155161,-59.9971,-143.9992
119,GP17-OCE_3_25,"M00001,M00002,M00003",0.0012803554732028794,-66.9998,-134.9994
120,GP17-OCE_3_27,"M00001,M00002,M00003",0.001124712417399557,-67.0003,-115.0079
121,GP17-OCE_3_32,"M00001,M00002,M00003",0.000905517789176141,-59.9984,-82.4956
122,GP17-OCE_3_33,"M00001,M00002,M00003",0.000884176551206482,-57.0001,-78.9996
123,GP17-OCE_3_35,"M00001,M00002,M00003",0.0010563894745395004,-54.3512,-76.5493
124,GP17-OCE_3_37,"M00001,M00002,M00003",0.002048769569041293,-53.4991,-75.751
125,GP17-OCE_3_38,"M00001,M00002,M00003",0.0007763748622450322,-52.7019,-75.0972
126,GP15_3_3,"M00001,M00002,M00003,M00028,M00115,M00165,M00166,M00308,M00552",0.0,55.08013,-155.72003
127,GP15_3_4,"M00001,M00002,M00003,M00028,M00115,M00165,M00166,M00308,M00552",0.0,55.07994,-155.72033
128,GP15_3_5,"M00001,M00002,M00003,M00028,M00115,M00165,M00166,M00308,M00552",0.0,53.68004,-153.79988
129,GP15_3_6,"M00001,M00002,M00003,M00028,M00115,M00165,M00166,M00308,M00552",0.0,52.00014,-151.99978
