,stn,cog,sum,lat,lon
0,GP15_02_1,-,0.015353158137613676,56.05909,-156.96154
1,GP15_02_3,-,0.020260341185072896,55.08013,-155.72003
2,GP15_02_4,-,0.021179833992378983,55.07994,-155.72033
3,GP15_02_5,-,0.01836620880828625,53.68004,-153.79988
4,GP15_02_6,-,0.02002450559656742,52.00014,-151.99978
5,GP15_02_8,-,0.019989261699803314,47.00009,-151.99986
6,GP15_02_9,-,0.016714783359759382,44.50019,-151.99984
7,GP15_02_10,-,0.012301046860383573,41.99998,-151.99985
8,GP15_02_12,-,0.011095321192862637,37.00007,-152.00017
9,GP15_02_14,-,0.00899027794609885,32.00006,-151.99991
10,GP15_02_15,-,0.010548739886445294,29.5003,-152.0005
11,GP15_02_16,-,0.01020460446635245,26.99984,-152.00004
12,GP15_02_18,-,0.008220171320465663,22.00015,-152.00005
13,GP15_02_18-3,-,0.0064882969273210855,19.68113,-154.51301
14,GP15_02_19,-,0.00679656997137914,17.49998,-152.00007
15,GP15_02_21,-,0.0068467317296612255,11.00013,-152.00001
16,GP15_02_23,-,0.007900453194318584,7.52686,-152.01638
17,GP15_02_25,-,0.008563022499955022,5.01547,-152.0233
18,GP15_02_27,-,0.009759493484232419,2.49982,-152.01363
19,GP15_02_29,-,0.010548010826946098,0.0022,-152.01378
20,GP15_02_31,-,0.012378916852558807,-2.50475,-152.00003
21,GP15_02_33,-,0.015198258881899762,-4.99972,-152.00247
22,GP15_02_35,-,0.014974849769754005,-10.49975,-151.99948
23,GP15_02_37,-,0.011098280040346206,-14.9986,-151.99808
24,GP15_02_39,-,0.010198346827354592,-19.99443,-152.09907
25,GP17-OCE_02_1,-,0.008614585993791151,-19.9999,-152.0003
26,GP17-OCE_02_3,-,0.007888316457288982,-24.9996,-151.25
27,GP17-OCE_02_6,-,0.010515489273024628,-32.5,-150.0012
28,GP17-OCE_02_8,-,0.014056083755601861,-37.5001,-149.2803
29,GP17-OCE_02_10,-,0.015188155091463281,-42.5003,-148.4706
30,GP17-OCE_02_12,-,0.017191432427052976,-47.5,-147.5199
31,GP17-OCE_02_14,-,0.01644569098694721,-52.312,-146.4033
32,GP17-OCE_02_16,-,0.027114400403049625,-54.9995,-145.6559
33,GP17-OCE_02_18,-,0.01616581140271441,-56.1052,-145.3377
34,GP17-OCE_02_20,-,0.013099272895758872,-57.6014,-144.8581
35,GP17-OCE_02_22,-,0.023470338744352462,-59.9971,-143.9992
36,GP17-OCE_02_25,-,0.02375426021848211,-66.9998,-134.9994
37,GP17-OCE_02_27,-,0.022399146514651698,-67.0003,-115.0079
38,GP17-OCE_02_29,-,0.021935556978545927,-66.9988,-100.001
39,GP17-OCE_02_32,-,0.02418858718581952,-59.9984,-82.4956
40,GP17-OCE_02_33,-,0.02229627302514667,-57.0001,-78.9996
41,GP17-OCE_02_35,-,0.020009336401924482,-54.3512,-76.5493
42,GP17-OCE_02_37,-,0.016902138610200266,-53.4991,-75.751
43,GP17-OCE_02_38,-,0.012508012037401449,-52.7019,-75.0972
44,GP15_02_1,A,0.004812435612568511,56.05909,-156.96154
45,GP15_02_3,A,0.0019393861055006175,55.08013,-155.72003
46,GP15_02_4,A,0.002591120952934265,55.07994,-155.72033
47,GP15_02_5,A,0.0016463088905419845,53.68004,-153.79988
48,GP15_02_6,A,0.0014999001745597612,52.00014,-151.99978
49,GP15_02_8,A,0.0022693420856339653,47.00009,-151.99986
50,GP15_02_9,A,0.0013493498077821245,44.50019,-151.99984
51,GP15_02_10,A,0.0011381651958065069,41.99998,-151.99985
52,GP15_02_12,A,0.0010339185787175279,37.00007,-152.00017
53,GP15_02_14,A,0.0008805874604210566,32.00006,-151.99991
54,GP15_02_15,A,0.0010582140018495112,29.5003,-152.0005
55,GP15_02_16,A,0.000825134025460278,26.99984,-152.00004
56,GP15_02_18,A,0.0011539722692264854,22.00015,-152.00005
57,GP15_02_18-3,A,0.0006214608340896601,19.68113,-154.51301
58,GP15_02_19,A,0.0005687994679212539,17.49998,-152.00007
59,GP15_02_21,A,0.0006297013992898324,11.00013,-152.00001
60,GP15_02_23,A,0.0006825020761412603,7.52686,-152.01638
61,GP15_02_25,A,0.0008641818986968552,5.01547,-152.0233
62,GP15_02_27,A,0.0009071477688334939,2.49982,-152.01363
63,GP15_02_29,A,0.002092234337067886,0.0022,-152.01378
64,GP15_02_31,A,0.00212792287701538,-2.50475,-152.00003
65,GP15_02_33,A,0.0035921746383339812,-4.99972,-152.00247
66,GP15_02_35,A,0.004391188988975291,-10.49975,-151.99948
67,GP15_02_37,A,0.0024237209355251004,-14.9986,-151.99808
68,GP15_02_39,A,0.0025157934055741707,-19.99443,-152.09907
69,GP17-OCE_02_1,A,0.0008233469597433252,-19.9999,-152.0003
70,GP17-OCE_02_3,A,0.0005982722169164935,-24.9996,-151.25
71,GP17-OCE_02_6,A,0.0009368561647652778,-32.5,-150.0012
72,GP17-OCE_02_8,A,0.0020882645110251443,-37.5001,-149.2803
73,GP17-OCE_02_10,A,0.0025009113565717584,-42.5003,-148.4706
74,GP17-OCE_02_12,A,0.0025794355437957885,-47.5,-147.5199
75,GP17-OCE_02_14,A,0.0016981249810718974,-52.312,-146.4033
76,GP17-OCE_02_16,A,0.00172877368545165,-54.9995,-145.6559
77,GP17-OCE_02_18,A,0.004803758408070777,-56.1052,-145.3377
78,GP17-OCE_02_20,A,0.0036801972492248782,-57.6014,-144.8581
79,GP17-OCE_02_22,A,0.007306743934322655,-59.9971,-143.9992
