,stn,clade,sum,lat,lon
0,GP15_02_1,Gammaproteobacteria,0,56.05909,-156.96154
1,GP15_02_3,Gammaproteobacteria,0,55.08013,-155.72003
2,GP15_02_4,Gammaproteobacteria,0,55.07994,-155.72033
3,GP15_02_5,Gammaproteobacteria,0,53.68004,-153.79988
4,GP15_02_6,Gammaproteobacteria,0,52.00014,-151.99978
5,GP15_02_8,Gammaproteobacteria,0,47.00009,-151.99986
6,GP15_02_9,Gammaproteobacteria,0,44.50019,-151.99984
7,GP15_02_10,Gammaproteobacteria,0,41.99998,-151.99985
8,GP15_02_12,Gammaproteobacteria,0,37.00007,-152.00017
9,GP15_02_14,Gammaproteobacteria,0,32.00006,-151.99991
10,GP15_02_15,Gammaproteobacteria,0,29.5003,-152.0005
11,GP15_02_16,Gammaproteobacteria,0,26.99984,-152.00004
12,GP15_02_18,Gammaproteobacteria,0,22.00015,-152.00005
13,GP15_02_18-3,Gammaproteobacteria,0,19.68113,-154.51301
14,GP15_02_19,Gammaproteobacteria,0,17.49998,-152.00007
15,GP15_02_21,Gammaproteobacteria,0,11.00013,-152.00001
16,GP15_02_23,Gammaproteobacteria,0,7.52686,-152.01638
17,GP15_02_25,Gammaproteobacteria,0,5.01547,-152.0233
18,GP15_02_27,Gammaproteobacteria,0,2.49982,-152.01363
19,GP15_02_29,Gammaproteobacteria,0,0.0022,-152.01378
20,GP15_02_31,Gammaproteobacteria,0,-2.50475,-152.00003
21,GP15_02_33,Gammaproteobacteria,0,-4.99972,-152.00247
22,GP15_02_35,Gammaproteobacteria,0,-10.49975,-151.99948
23,GP15_02_37,Gammaproteobacteria,0,-14.9986,-151.99808
24,GP15_02_39,Gammaproteobacteria,0,-19.99443,-152.09907
25,GP17-OCE_02_1,Gammaproteobacteria,0,-19.9999,-152.0003
26,GP17-OCE_02_3,Gammaproteobacteria,0,-24.9996,-151.25
27,GP17-OCE_02_6,Gammaproteobacteria,0,-32.5,-150.0012
28,GP17-OCE_02_8,Gammaproteobacteria,0.000133593,-37.5001,-149.2803
29,GP17-OCE_02_10,Gammaproteobacteria,0.000399485,-42.5003,-148.4706
30,GP17-OCE_02_12,Gammaproteobacteria,0.000222538,-47.5,-147.5199
31,GP17-OCE_02_14,Gammaproteobacteria,0,-52.312,-146.4033
32,GP17-OCE_02_16,Gammaproteobacteria,0,-54.9995,-145.6559
33,GP17-OCE_02_18,Gammaproteobacteria,0,-56.1052,-145.3377
34,GP17-OCE_02_20,Gammaproteobacteria,0,-57.6014,-144.8581
35,GP17-OCE_02_22,Gammaproteobacteria,0,-59.9971,-143.9992
36,GP17-OCE_02_25,Gammaproteobacteria,0,-66.9998,-134.9994
37,GP17-OCE_02_27,Gammaproteobacteria,0,-67.0003,-115.0079
38,GP17-OCE_02_29,Gammaproteobacteria,0,-66.9988,-100.001
39,GP17-OCE_02_32,Gammaproteobacteria,0,-59.9984,-82.4956
40,GP17-OCE_02_33,Gammaproteobacteria,0,-57.0001,-78.9996
41,GP17-OCE_02_35,Gammaproteobacteria,0,-54.3512,-76.5493
