,stn,clade,sum,lat,lon
0,GP15_02_1,Acanthoecida_X,0.0018118570838984696,56.05909,-156.96154
1,GP15_02_3,Acanthoecida_X,0.003714488280178375,55.08013,-155.72003
2,GP15_02_4,Acanthoecida_X,0.0033812432292139333,55.07994,-155.72033
3,GP15_02_5,Acanthoecida_X,0.0038594591900810845,53.68004,-153.79988
4,GP15_02_6,Acanthoecida_X,0.004140689198086499,52.00014,-151.99978
5,GP15_02_8,Acanthoecida_X,0.002911397800032994,47.00009,-151.99986
6,GP15_02_9,Acanthoecida_X,0.003096145585011878,44.50019,-151.99984
7,GP15_02_10,Acanthoecida_X,0.003494666609864693,41.99998,-151.99985
8,GP15_02_12,Acanthoecida_X,0.004278594590305957,37.00007,-152.00017
9,GP15_02_14,Acanthoecida_X,0.0037905318158146673,32.00006,-151.99991
10,GP15_02_15,Acanthoecida_X,0.003752954516399439,29.5003,-152.0005
11,GP15_02_16,Acanthoecida_X,0.003324433237415724,26.99984,-152.00004
12,GP15_02_18,Acanthoecida_X,0.0033952621857525037,22.00015,-152.00005
13,GP15_02_18-3,Acanthoecida_X,0.0034125566011186537,19.68113,-154.51301
14,GP15_02_19,Acanthoecida_X,0.0040582923355971965,17.49998,-152.00007
15,GP15_02_21,Acanthoecida_X,0.003353878344704265,11.00013,-152.00001
16,GP15_02_23,Acanthoecida_X,0.003278189567625233,7.52686,-152.01638
17,GP15_02_25,Acanthoecida_X,0.0029527916085529625,5.01547,-152.0233
18,GP15_02_27,Acanthoecida_X,0.0040285287499614835,2.49982,-152.01363
19,GP15_02_29,Acanthoecida_X,0.0044386952741031225,0.0022,-152.01378
20,GP15_02_31,Acanthoecida_X,0.004163248717962378,-2.50475,-152.00003
21,GP15_02_33,Acanthoecida_X,0.003889712786150381,-4.99972,-152.00247
22,GP15_02_35,Acanthoecida_X,0.003599032736875954,-10.49975,-151.99948
23,GP15_02_37,Acanthoecida_X,0.003262350908396286,-14.9986,-151.99808
24,GP15_02_39,Acanthoecida_X,0.0028636100419321274,-19.99443,-152.09907
25,GP17-OCE_02_1,Acanthoecida_X,0.002447364355544947,-19.9999,-152.0003
26,GP17-OCE_02_3,Acanthoecida_X,0.0020229599878711863,-24.9996,-151.25
27,GP17-OCE_02_6,Acanthoecida_X,0.0035445087713835487,-32.5,-150.0012
28,GP17-OCE_02_8,Acanthoecida_X,0.0034321493625316755,-37.5001,-149.2803
29,GP17-OCE_02_10,Acanthoecida_X,0.0028651217520493026,-42.5003,-148.4706
30,GP17-OCE_02_12,Acanthoecida_X,0.002791851228842529,-47.5,-147.5199
31,GP17-OCE_02_14,Acanthoecida_X,0.002024097147049449,-52.312,-146.4033
32,GP17-OCE_02_16,Acanthoecida_X,0.002005207867404237,-54.9995,-145.6559
33,GP17-OCE_02_18,Acanthoecida_X,0.001315160373056178,-56.1052,-145.3377
34,GP17-OCE_02_20,Acanthoecida_X,0.002184436483268844,-57.6014,-144.8581
35,GP17-OCE_02_22,Acanthoecida_X,0.00240856752698302,-59.9971,-143.9992
36,GP17-OCE_02_25,Acanthoecida_X,0.001920076202208406,-66.9998,-134.9994
37,GP17-OCE_02_27,Acanthoecida_X,0.0019752295529159337,-67.0003,-115.0079
38,GP17-OCE_02_29,Acanthoecida_X,0.0024618346967673543,-66.9988,-100.001
