,stn,module,sum,lat,lon
0,GP15_02_1,-,0.4957400533392323,56.05909,-156.96154
1,GP15_02_3,-,0.5288719988403946,55.08013,-155.72003
2,GP15_02_4,-,0.5234549726471108,55.07994,-155.72033
3,GP15_02_5,-,0.5231929623210816,53.68004,-153.79988
4,GP15_02_6,-,0.533961991252819,52.00014,-151.99978
5,GP15_02_8,-,0.5272413824544615,47.00009,-151.99986
6,GP15_02_9,-,0.5474930587430389,44.50019,-151.99984
7,GP15_02_10,-,0.5585861309408763,41.99998,-151.99985
8,GP15_02_12,-,0.5326255389002651,37.00007,-152.00017
9,GP15_02_14,-,0.5190815461081355,32.00006,-151.99991
10,GP15_02_15,-,0.5319739009784358,29.5003,-152.0005
11,GP15_02_16,-,0.5261004932793998,26.99984,-152.00004
12,GP15_02_18,-,0.5368319028999935,22.00015,-152.00005
13,GP15_02_18-3,-,0.5277563307155986,19.68113,-154.51301
14,GP15_02_19,-,0.5451166065243521,17.49998,-152.00007
15,GP15_02_21,-,0.5632678898530177,11.00013,-152.00001
16,GP15_02_23,-,0.5648205931135709,7.52686,-152.01638
17,GP15_02_25,-,0.5533169188477731,5.01547,-152.0233
18,GP15_02_27,-,0.5522481799693107,2.49982,-152.01363
19,GP15_02_29,-,0.5587783894755916,0.0022,-152.01378
20,GP15_02_31,-,0.5382181792124449,-2.50475,-152.00003
21,GP15_02_33,-,0.5437203751244584,-4.99972,-152.00247
22,GP15_02_35,-,0.5436055796735058,-10.49975,-151.99948
23,GP15_02_37,-,0.540010324766433,-14.9986,-151.99808
24,GP15_02_39,-,0.5192457717767407,-19.99443,-152.09907
25,GP17-OCE_02_1,-,0.5143401809689003,-19.9999,-152.0003
26,GP17-OCE_02_3,-,0.4986014618944966,-24.9996,-151.25
27,GP17-OCE_02_6,-,0.48639932883937964,-32.5,-150.0012
28,GP17-OCE_02_8,-,0.5226162356923133,-37.5001,-149.2803
29,GP17-OCE_02_10,-,0.4903149533517916,-42.5003,-148.4706
30,GP17-OCE_02_12,-,0.49789925800959944,-47.5,-147.5199
31,GP17-OCE_02_14,-,0.4882637133366185,-52.312,-146.4033
32,GP17-OCE_02_16,-,0.4964422799625772,-54.9995,-145.6559
33,GP17-OCE_02_18,-,0.4765718460301021,-56.1052,-145.3377
34,GP17-OCE_02_20,-,0.46415463960210784,-57.6014,-144.8581
35,GP17-OCE_02_22,-,0.47518706686723006,-59.9971,-143.9992
36,GP17-OCE_02_25,-,0.4741259396060316,-66.9998,-134.9994
37,GP17-OCE_02_27,-,0.4809194535770173,-67.0003,-115.0079
38,GP17-OCE_02_29,-,0.48293812034137334,-66.9988,-100.001
39,GP17-OCE_02_32,-,0.4879704617314237,-59.9984,-82.4956
40,GP17-OCE_02_33,-,0.4894323707992832,-57.0001,-78.9996
41,GP17-OCE_02_35,-,0.5001079863052246,-54.3512,-76.5493
42,GP17-OCE_02_37,-,0.48293166467084453,-53.4991,-75.751
43,GP17-OCE_02_38,-,0.49850584398976694,-52.7019,-75.0972
44,GP15_02_1,"M00001,M00002,M00003",0.00041010902844558673,56.05909,-156.96154
45,GP15_02_3,"M00001,M00002,M00003",0.00022889220834136474,55.08013,-155.72003
46,GP15_02_4,"M00001,M00002,M00003",0.00023732140191777787,55.07994,-155.72033
47,GP15_02_5,"M00001,M00002,M00003",0.00021429805211436136,53.68004,-153.79988
48,GP15_02_6,"M00001,M00002,M00003",0.00014916728107010983,52.00014,-151.99978
49,GP15_02_8,"M00001,M00002,M00003",0.0001772719065151685,47.00009,-151.99986
50,GP15_02_9,"M00001,M00002,M00003",0.0001680828527370265,44.50019,-151.99984
51,GP15_02_10,"M00001,M00002,M00003",0.00035495176071645196,41.99998,-151.99985
52,GP15_02_12,"M00001,M00002,M00003",0.0003990862115782738,37.00007,-152.00017
53,GP15_02_14,"M00001,M00002,M00003",0.0004727083813978309,32.00006,-151.99991
54,GP15_02_15,"M00001,M00002,M00003",0.0003960944308550468,29.5003,-152.0005
55,GP15_02_16,"M00001,M00002,M00003",0.00046628910335749335,26.99984,-152.00004
56,GP15_02_18,"M00001,M00002,M00003",0.0004934304341614837,22.00015,-152.00005
57,GP15_02_18-3,"M00001,M00002,M00003",0.0006181557451940434,19.68113,-154.51301
58,GP15_02_19,"M00001,M00002,M00003",0.0004625498950210393,17.49998,-152.00007
59,GP15_02_21,"M00001,M00002,M00003",0.0005719899688868282,11.00013,-152.00001
60,GP15_02_23,"M00001,M00002,M00003",0.0005873114323070004,7.52686,-152.01638
61,GP15_02_25,"M00001,M00002,M00003",0.0006222962249767431,5.01547,-152.0233
62,GP15_02_27,"M00001,M00002,M00003",0.0004833542662726572,2.49982,-152.01363
63,GP15_02_29,"M00001,M00002,M00003",0.00044624296778956725,0.0022,-152.01378
64,GP15_02_31,"M00001,M00002,M00003",0.0008734668612071176,-2.50475,-152.00003
65,GP15_02_33,"M00001,M00002,M00003",0.0012468284907292452,-4.99972,-152.00247
66,GP15_02_35,"M00001,M00002,M00003",0.0016549318078060893,-10.49975,-151.99948
67,GP15_02_37,"M00001,M00002,M00003",0.0012691280921248286,-14.9986,-151.99808
68,GP15_02_39,"M00001,M00002,M00003",0.0014395256603447544,-19.99443,-152.09907
69,GP17-OCE_02_1,"M00001,M00002,M00003",0.000492996094009929,-19.9999,-152.0003
70,GP17-OCE_02_3,"M00001,M00002,M00003",0.0004553537011675694,-24.9996,-151.25
71,GP17-OCE_02_6,"M00001,M00002,M00003",0.00014928663297016678,-32.5,-150.0012
72,GP17-OCE_02_8,"M00001,M00002,M00003",0.00048335704617665865,-37.5001,-149.2803
73,GP17-OCE_02_10,"M00001,M00002,M00003",0.00026048837511176935,-42.5003,-148.4706
74,GP17-OCE_02_12,"M00001,M00002,M00003",0.000495365323291009,-47.5,-147.5199
75,GP17-OCE_02_14,"M00001,M00002,M00003",0.00017822498003814988,-52.312,-146.4033
76,GP17-OCE_02_16,"M00001,M00002,M00003",0.0004276827997933473,-54.9995,-145.6559
77,GP17-OCE_02_18,"M00001,M00002,M00003",0.00037924872319380004,-56.1052,-145.3377
78,GP17-OCE_02_20,"M00001,M00002,M00003",0.00033448452332581765,-57.6014,-144.8581
79,GP17-OCE_02_22,"M00001,M00002,M00003",0.000679733467705419,-59.9971,-143.9992
80,GP17-OCE_02_25,"M00001,M00002,M00003",0.000498442233247624,-66.9998,-134.9994
81,GP17-OCE_02_27,"M00001,M00002,M00003",0.0009112435346024704,-67.0003,-115.0079
82,GP17-OCE_02_29,"M00001,M00002,M00003",0.0005772383350243703,-66.9988,-100.001
83,GP17-OCE_02_32,"M00001,M00002,M00003",0.00034882447208417375,-59.9984,-82.4956
84,GP17-OCE_02_33,"M00001,M00002,M00003",0.0003734030189672023,-57.0001,-78.9996
85,GP17-OCE_02_35,"M00001,M00002,M00003",0.0005430800328162161,-54.3512,-76.5493
86,GP17-OCE_02_37,"M00001,M00002,M00003",0.0003978115017822048,-53.4991,-75.751
87,GP17-OCE_02_38,"M00001,M00002,M00003",0.00011778747996729325,-52.7019,-75.0972
88,GP15_02_1,"M00001,M00002,M00003,M00095",0.0,56.05909,-156.96154
89,GP15_02_3,"M00001,M00002,M00003,M00095",0.0,55.08013,-155.72003
90,GP15_02_4,"M00001,M00002,M00003,M00095",0.0,55.07994,-155.72033
91,GP15_02_5,"M00001,M00002,M00003,M00095",0.0,53.68004,-153.79988
92,GP15_02_6,"M00001,M00002,M00003,M00095",0.0,52.00014,-151.99978
93,GP15_02_8,"M00001,M00002,M00003,M00095",0.0,47.00009,-151.99986
94,GP15_02_9,"M00001,M00002,M00003,M00095",0.0,44.50019,-151.99984
95,GP15_02_10,"M00001,M00002,M00003,M00095",0.0,41.99998,-151.99985
96,GP15_02_12,"M00001,M00002,M00003,M00095",0.0,37.00007,-152.00017
97,GP15_02_14,"M00001,M00002,M00003,M00095",0.0,32.00006,-151.99991
98,GP15_02_15,"M00001,M00002,M00003,M00095",0.0,29.5003,-152.0005
99,GP15_02_16,"M00001,M00002,M00003,M00095",0.0,26.99984,-152.00004
100,GP15_02_18,"M00001,M00002,M00003,M00095",0.0,22.00015,-152.00005
101,GP15_02_18-3,"M00001,M00002,M00003,M00095",0.0,19.68113,-154.51301
102,GP15_02_19,"M00001,M00002,M00003,M00095",0.0,17.49998,-152.00007
103,GP15_02_21,"M00001,M00002,M00003,M00095",0.0,11.00013,-152.00001
104,GP15_02_23,"M00001,M00002,M00003,M00095",0.0,7.52686,-152.01638
105,GP15_02_25,"M00001,M00002,M00003,M00095",0.0,5.01547,-152.0233
106,GP15_02_27,"M00001,M00002,M00003,M00095",0.0,2.49982,-152.01363
107,GP15_02_29,"M00001,M00002,M00003,M00095",0.0,0.0022,-152.01378
108,GP15_02_31,"M00001,M00002,M00003,M00095",0.0,-2.50475,-152.00003
109,GP15_02_33,"M00001,M00002,M00003,M00095",0.0,-4.99972,-152.00247
110,GP15_02_35,"M00001,M00002,M00003,M00095",1.18048936724038e-05,-10.49975,-151.99948
